timestamp	phase	sample	elapsed_seconds	MemTotal_kB	MemAvailable_kB	MemFree_kB	Buffers_kB	Cached_kB	SReclaimable_kB	SwapTotal_kB	SwapFree_kB	pswpin	pswpout
2026-08-20T07:30:24Z	baseline	1	0	4005188	3119528	481504	96212	2582628	262448	4194300	4172300	4097	15996
2026-08-20T07:30:42Z	baseline	2	18	4005188	3112104	473444	96272	2583204	262448	4194300	4172300	4097	15996
2026-08-20T07:30:59Z	baseline	3	35	4005188	3107432	468576	96352	2583320	262448	4194300	4172300	4097	15996
2026-08-20T07:31:17Z	baseline	4	53	4005188	3109284	470284	96480	2583336	262448	4194300	4172300	4097	15996
2026-08-20T07:31:35Z	baseline	5	71	4005188	3117600	478452	96588	2583376	262448	4194300	4172300	4097	15996
2026-08-20T07:31:53Z	baseline	6	89	4005188	3114208	474984	96604	2583452	262448	4194300	4172300	4097	15996
2026-08-20T07:32:11Z	baseline	7	106	4005188	3112252	472912	96668	2583488	262448	4194300	4172300	4097	15996
2026-08-20T07:32:28Z	baseline	8	124	4005188	3110148	470732	96732	2583540	262448	4194300	4172300	4097	15996
2026-08-20T07:32:45Z	baseline	9	141	4005188	3111888	472372	96736	2583596	262448	4194300	4172300	4097	15996
2026-08-20T07:33:03Z	baseline	10	159	4005188	3108148	468520	96812	2583632	262448	4194300	4172300	4097	15996
2026-08-20T07:33:21Z	baseline	11	177	4005188	3110188	470544	96836	2583640	262448	4194300	4172300	4097	15996
2026-08-20T07:33:39Z	baseline	12	195	4005188	3114140	474372	96912	2583684	262448	4194300	4172300	4097	15996
2026-08-20T07:33:57Z	baseline	13	213	4005188	3117624	477796	96976	2583724	262448	4194300	4172300	4097	15996
2026-08-20T07:34:15Z	baseline	14	230	4005188	3122448	482492	96992	2583780	262448	4194300	4172300	4097	15996
2026-08-20T07:34:32Z	baseline	15	248	4005188	3126044	485972	97048	2583840	262448	4194300	4172300	4097	15996
2026-08-20T07:34:50Z	baseline	16	266	4005188	3133212	493136	97056	2583840	262448	4194300	4172300	4097	15996
2026-08-20T07:35:08Z	baseline	17	284	4005188	3127628	487480	97108	2583864	262448	4194300	4172300	4097	15996
2026-08-20T07:35:26Z	baseline	18	302	4005188	3131868	491664	97164	2583880	262448	4194300	4172300	4097	15996
2026-08-20T07:35:44Z	baseline	19	320	4005188	3127020	486776	97180	2583880	262448	4194300	4172300	4097	15996
2026-08-20T07:36:02Z	baseline	20	337	4005188	3133180	492880	97232	2583892	262448	4194300	4172300	4097	15996
2026-08-20T07:36:19Z	baseline	21	355	4005188	3127492	487180	97236	2583892	262448	4194300	4172300	4097	15996
2026-08-20T07:39:05Z	steady	1	0	4005188	2768360	126720	97708	2599880	264120	4194300	4172300	4097	16000
2026-08-20T07:39:25Z	steady	2	19	4005188	2765012	122688	97800	2600484	264120	4194300	4172300	4097	16000
2026-08-20T07:39:45Z	steady	3	39	4005188	2758400	122816	97788	2593744	264120	4194300	4172300	4097	16000
2026-08-20T07:40:04Z	steady	4	58	4005188	2762936	127140	97856	2593888	264120	4194300	4172300	4097	16000
2026-08-20T07:40:23Z	steady	5	78	4005188	2768780	134352	97940	2592444	264116	4194300	4172300	4097	16000
2026-08-20T07:40:43Z	steady	6	97	4005188	2757436	122876	97968	2592544	264116	4194300	4172300	4097	16000
2026-08-20T07:41:02Z	steady	7	116	4005188	2779936	152572	98036	2585288	264108	4194300	4172300	4097	16000
2026-08-20T07:41:21Z	steady	8	135	4005188	2776592	148980	98060	2585608	264012	4194300	4172300	4097	16000
2026-08-20T07:41:41Z	steady	9	155	4005188	2775116	146592	98180	2586408	264012	4194300	4172300	4099	16000
2026-08-20T07:42:00Z	steady	10	174	4005188	2776948	148056	98304	2586648	264012	4194300	4172300	4099	16000
2026-08-20T07:42:20Z	steady	11	194	4005188	2756076	126872	98324	2586940	264012	4194300	4172300	4099	16000
2026-08-20T07:42:39Z	steady	12	213	4005188	2768552	138904	98400	2587308	264012	4194300	4172300	4099	16000
2026-08-20T07:42:59Z	steady	13	233	4005188	2757564	127472	98488	2587676	264012	4194300	4172300	4099	16000
2026-08-20T07:43:19Z	steady	14	253	4005188	2775608	138020	98528	2595116	264012	4194300	4172300	4100	16000
2026-08-20T07:43:38Z	steady	15	272	4005188	2757016	119060	98604	2595412	264012	4194300	4172300	4100	16000
2026-08-20T07:43:57Z	steady	16	291	4005188	2761468	134496	98596	2584448	264000	4194300	4172300	4100	16001
2026-08-20T07:44:18Z	steady	17	312	4005188	2754060	127424	98628	2584084	264000	4194300	4172300	4100	16001
