timestamp	phase	sample	elapsed_seconds	some_avg10	some_avg60	some_avg300	some_total	full_avg10	full_avg60	full_avg300	full_total
2026-08-20T09:20:15Z	baseline	1	0	avg10=0.48	avg60=0.35	avg300=0.36	total=55303148	avg10=0.33	avg60=0.22	avg300=0.22	total=41243249
2026-08-20T09:20:30Z	baseline	2	15	avg10=0.09	avg60=0.26	avg300=0.34	total=55304563	avg10=0.06	avg60=0.17	avg300=0.21	total=41244533
2026-08-20T09:20:45Z	baseline	3	30	avg10=0.02	avg60=0.21	avg300=0.32	total=55304754	avg10=0.01	avg60=0.13	avg300=0.20	total=41244709
2026-08-20T09:21:00Z	baseline	4	45	avg10=0.00	avg60=0.15	avg300=0.30	total=55304984	avg10=0.00	avg60=0.10	avg300=0.19	total=41244931
2026-08-20T09:21:15Z	baseline	5	60	avg10=0.00	avg60=0.12	avg300=0.28	total=55305642	avg10=0.00	avg60=0.07	avg300=0.18	total=41245583
2026-08-20T09:21:31Z	baseline	6	75	avg10=0.00	avg60=0.09	avg300=0.27	total=55307538	avg10=0.00	avg60=0.05	avg300=0.16	total=41247480
2026-08-20T09:21:45Z	baseline	7	90	avg10=0.00	avg60=0.07	avg300=0.25	total=55307621	avg10=0.00	avg60=0.04	avg300=0.15	total=41247563
2026-08-20T09:22:00Z	baseline	8	105	avg10=0.00	avg60=0.05	avg300=0.24	total=55314124	avg10=0.00	avg60=0.03	avg300=0.14	total=41254061
2026-08-20T09:22:15Z	baseline	9	120	avg10=0.00	avg60=0.04	avg300=0.22	total=55318506	avg10=0.00	avg60=0.02	avg300=0.13	total=41258435
2026-08-20T09:22:30Z	baseline	10	135	avg10=0.00	avg60=0.02	avg300=0.21	total=55320193	avg10=0.00	avg60=0.01	avg300=0.13	total=41260122
2026-08-20T09:22:45Z	baseline	11	150	avg10=0.00	avg60=0.02	avg300=0.20	total=55320193	avg10=0.00	avg60=0.01	avg300=0.12	total=41260122
2026-08-20T09:23:00Z	baseline	12	165	avg10=0.00	avg60=0.01	avg300=0.19	total=55320262	avg10=0.00	avg60=0.00	avg300=0.11	total=41260191
2026-08-20T09:23:16Z	baseline	13	180	avg10=0.00	avg60=0.01	avg300=0.18	total=55323621	avg10=0.00	avg60=0.00	avg300=0.10	total=41263540
2026-08-20T09:23:30Z	baseline	14	195	avg10=0.00	avg60=0.00	avg300=0.16	total=55323621	avg10=0.00	avg60=0.00	avg300=0.10	total=41263540
2026-08-20T09:23:46Z	baseline	15	210	avg10=0.00	avg60=0.00	avg300=0.15	total=55331285	avg10=0.00	avg60=0.00	avg300=0.09	total=41271134
2026-08-20T09:24:00Z	baseline	16	225	avg10=0.00	avg60=0.00	avg300=0.14	total=55331717	avg10=0.00	avg60=0.00	avg300=0.08	total=41271567
2026-08-20T09:24:15Z	baseline	17	240	avg10=0.00	avg60=0.00	avg300=0.13	total=55331717	avg10=0.00	avg60=0.00	avg300=0.08	total=41271567
2026-08-20T09:24:30Z	baseline	18	255	avg10=0.00	avg60=0.00	avg300=0.13	total=55340522	avg10=0.00	avg60=0.00	avg300=0.07	total=41280248
2026-08-20T09:24:45Z	baseline	19	270	avg10=0.00	avg60=0.00	avg300=0.12	total=55340522	avg10=0.00	avg60=0.00	avg300=0.06	total=41280248
2026-08-20T09:25:00Z	baseline	20	285	avg10=0.00	avg60=0.00	avg300=0.11	total=55340528	avg10=0.00	avg60=0.00	avg300=0.06	total=41280254
