timestamp	phase	sample	service	pid	Rss_kB	Pss_kB	Pss_Anon_kB	Pss_File_kB	Swap_kB
2026-08-20T09:20:18Z	baseline	1	cpa-manager-plus	735532	39472	39468	21592	17876	0
2026-08-20T09:20:18Z	baseline	1	cli-proxy-api	735285	39172	39168	17752	21416	0
2026-08-20T09:20:18Z	baseline	1	cloudflared	722	26144	26140	17832	8308	1436
2026-08-20T09:20:33Z	baseline	2	cpa-manager-plus	735532	39736	39732	21856	17876	0
2026-08-20T09:20:33Z	baseline	2	cli-proxy-api	735285	39184	39180	17752	21428	0
2026-08-20T09:20:33Z	baseline	2	cloudflared	722	26144	26140	17832	8308	1436
2026-08-20T09:20:48Z	baseline	3	cpa-manager-plus	735532	39736	39732	21856	17876	0
2026-08-20T09:20:48Z	baseline	3	cli-proxy-api	735285	39184	39180	17752	21428	0
2026-08-20T09:20:48Z	baseline	3	cloudflared	722	26144	26140	17832	8308	1436
2026-08-20T09:21:03Z	baseline	4	cpa-manager-plus	735532	39416	39412	21536	17876	0
2026-08-20T09:21:03Z	baseline	4	cli-proxy-api	735285	42328	42324	20896	21428	0
2026-08-20T09:21:03Z	baseline	4	cloudflared	722	26144	26140	17832	8308	1436
2026-08-20T09:21:18Z	baseline	5	cpa-manager-plus	735532	44912	44908	27032	17876	0
2026-08-20T09:21:18Z	baseline	5	cli-proxy-api	735285	42328	42324	20896	21428	0
2026-08-20T09:21:18Z	baseline	5	cloudflared	722	26756	26752	18148	8604	1436
2026-08-20T09:21:33Z	baseline	6	cpa-manager-plus	735532	45940	45936	28060	17876	0
2026-08-20T09:21:33Z	baseline	6	cli-proxy-api	735285	41896	41892	20464	21428	0
2026-08-20T09:21:33Z	baseline	6	cloudflared	722	27580	27576	18972	8604	1436
2026-08-20T09:21:48Z	baseline	7	cpa-manager-plus	735532	46740	46736	28852	17884	0
2026-08-20T09:21:48Z	baseline	7	cli-proxy-api	735285	41940	41936	20508	21428	0
2026-08-20T09:21:48Z	baseline	7	cloudflared	722	27804	27800	19196	8604	1436
2026-08-20T09:22:02Z	baseline	8	cpa-manager-plus	735532	47744	47740	29856	17884	0
2026-08-20T09:22:02Z	baseline	8	cli-proxy-api	735285	44036	44032	22440	21592	0
2026-08-20T09:22:02Z	baseline	8	cloudflared	722	28116	28112	19508	8604	1436
2026-08-20T09:22:18Z	baseline	9	cpa-manager-plus	735532	48160	48156	30272	17884	0
2026-08-20T09:22:18Z	baseline	9	cli-proxy-api	735285	44648	44644	22992	21652	0
2026-08-20T09:22:18Z	baseline	9	cloudflared	722	28128	28124	19520	8604	1436
2026-08-20T09:22:33Z	baseline	10	cpa-manager-plus	735532	47712	47708	29824	17884	0
2026-08-20T09:22:33Z	baseline	10	cli-proxy-api	735285	44880	44876	23220	21656	0
2026-08-20T09:22:33Z	baseline	10	cloudflared	722	28156	28152	19548	8604	1436
2026-08-20T09:22:48Z	baseline	11	cpa-manager-plus	735532	47712	47708	29824	17884	0
2026-08-20T09:22:48Z	baseline	11	cli-proxy-api	735285	44880	44876	23220	21656	0
2026-08-20T09:22:48Z	baseline	11	cloudflared	722	28156	28152	19548	8604	1436
2026-08-20T09:23:03Z	baseline	12	cpa-manager-plus	735532	47748	47744	29860	17884	0
2026-08-20T09:23:03Z	baseline	12	cli-proxy-api	735285	44880	44876	23220	21656	0
2026-08-20T09:23:03Z	baseline	12	cloudflared	722	31104	31100	19568	11532	1436
2026-08-20T09:23:18Z	baseline	13	cpa-manager-plus	735532	47748	47744	29860	17884	0
2026-08-20T09:23:18Z	baseline	13	cli-proxy-api	735285	45308	45304	23248	22056	0
2026-08-20T09:23:18Z	baseline	13	cloudflared	722	31104	31100	19568	11532	1436
2026-08-20T09:23:33Z	baseline	14	cpa-manager-plus	735532	40500	40496	22308	18188	0
2026-08-20T09:23:33Z	baseline	14	cli-proxy-api	735285	45488	45484	23364	22120	0
2026-08-20T09:23:33Z	baseline	14	cloudflared	722	31104	31100	19568	11532	1436
2026-08-20T09:23:48Z	baseline	15	cpa-manager-plus	735532	42228	42224	23920	18304	0
2026-08-20T09:23:48Z	baseline	15	cli-proxy-api	735285	46972	46968	24844	22124	0
2026-08-20T09:23:48Z	baseline	15	cloudflared	722	31104	31100	19568	11532	1436
2026-08-20T09:24:03Z	baseline	16	cpa-manager-plus	735532	42808	42804	24500	18304	0
2026-08-20T09:24:03Z	baseline	16	cli-proxy-api	735285	46988	46984	24860	22124	0
2026-08-20T09:24:03Z	baseline	16	cloudflared	722	30368	30364	18832	11532	1436
2026-08-20T09:24:18Z	baseline	17	cpa-manager-plus	735532	42832	42828	24524	18304	0
2026-08-20T09:24:18Z	baseline	17	cli-proxy-api	735285	46988	46984	24860	22124	0
2026-08-20T09:24:18Z	baseline	17	cloudflared	722	30368	30364	18832	11532	1436
2026-08-20T09:24:33Z	baseline	18	cpa-manager-plus	735532	42340	42336	24032	18304	0
2026-08-20T09:24:33Z	baseline	18	cli-proxy-api	735285	46988	46984	24860	22124	0
2026-08-20T09:24:33Z	baseline	18	cloudflared	722	30368	30364	18832	11532	1436
2026-08-20T09:24:48Z	baseline	19	cpa-manager-plus	735532	41324	41320	23016	18304	0
2026-08-20T09:24:48Z	baseline	19	cli-proxy-api	735285	46988	46984	24860	22124	0
2026-08-20T09:24:48Z	baseline	19	cloudflared	722	30368	30364	18832	11532	1436
2026-08-20T09:25:03Z	baseline	20	cpa-manager-plus	735532	41592	41588	23284	18304	0
2026-08-20T09:25:03Z	baseline	20	cli-proxy-api	735285	47020	47016	24892	22124	0
2026-08-20T09:25:03Z	baseline	20	cloudflared	722	30368	30364	18832	11532	1436
2026-08-20T09:25:18Z	baseline	21	cpa-manager-plus	735532	40576	40572	22268	18304	0
2026-08-20T09:25:18Z	baseline	21	cli-proxy-api	735285	47020	47016	24892	22124	0
2026-08-20T09:25:18Z	baseline	21	cloudflared	722	30368	30364	18832	11532	1436
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-frontend-1	767247	5544	3564	411	3151	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-frontend-1	767335	3096	1103	885	216	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-frontend-1	767336	3096	1103	885	216	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-frontend-1	767337	3096	1101	883	216	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-frontend-1	767338	3100	1113	895	216	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-backend-1	766784	280220	280216	256368	23848	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766601	27256	14021	420	9447	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766723	5948	819	482	301	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766724	7212	1334	479	313	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766726	10164	2667	478	332	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766727	9252	1514	769	608	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766728	8192	1325	735	532	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766971	20688	7695	3246	1922	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766997	23388	8558	2692	3242	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766998	13496	2769	1347	1025	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766999	13496	2769	1347	1025	0
2026-08-20T09:28:12Z	steady	1	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	767000	13496	2769	1347	1025	0
2026-08-20T09:28:12Z	steady	1	cpa-manager-plus	735532	40356	40352	22048	18304	0
2026-08-20T09:28:12Z	steady	1	cli-proxy-api	735285	40712	40708	18632	22076	0
2026-08-20T09:28:12Z	steady	1	cloudflared	722	29444	29440	17908	11532	1444
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-frontend-1	767247	5440	3462	414	3047	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-frontend-1	767335	3096	1103	886	216	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-frontend-1	767336	3096	1103	886	216	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-frontend-1	767337	3208	1221	895	324	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-frontend-1	767338	3100	1113	895	216	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-backend-1	766784	281096	281092	257244	23848	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766601	27256	14021	420	9447	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766723	5948	819	482	301	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766724	7212	1334	479	313	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766726	10164	2667	478	332	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766727	9252	1513	769	608	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766728	8212	1328	735	532	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766971	20688	7694	3246	1922	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766997	23388	8558	2692	3242	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766998	13496	2769	1347	1025	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	766999	13496	2769	1347	1025	0
2026-08-20T09:28:27Z	steady	2	forgepilot-phase1-cap-20260820t092008z-53877bba63ce-postgres-1	767000	13496	2769	1347	1025	0
2026-08-20T09:28:27Z	steady	2	cpa-manager-plus	735532	40444	40440	22132	18308	0
2026-08-20T09:28:27Z	steady	2	cli-proxy-api	735285	40712	40708	18632	22076	0
2026-08-20T09:28:27Z	steady	2	cloudflared	722	29444	29440	17908	11532	1444
