timestamp	phase	sample	elapsed_seconds	MemTotal_kB	MemAvailable_kB	MemFree_kB	Buffers_kB	Cached_kB	SReclaimable_kB	SwapTotal_kB	SwapFree_kB	pswpin	pswpout
2026-08-20T09:20:15Z	baseline	1	0	4005188	3037208	441172	106956	2518580	273824	4194300	4174092	4478	16883
2026-08-20T09:20:30Z	baseline	2	15	4005188	3036576	439188	107072	2519772	273824	4194300	4174092	4478	16883
2026-08-20T09:20:45Z	baseline	3	30	4005188	3026108	428640	107092	2519864	273824	4194300	4174092	4478	16883
2026-08-20T09:21:00Z	baseline	4	45	4005188	3029484	431908	107136	2519928	273824	4194300	4174092	4478	16883
2026-08-20T09:21:15Z	baseline	5	60	4005188	3030716	433052	107148	2520000	273828	4194300	4174092	4478	16883
2026-08-20T09:21:31Z	baseline	6	75	4005188	3032056	433952	107192	2520396	273828	4194300	4174092	4478	16883
2026-08-20T09:21:45Z	baseline	7	90	4005188	3031524	433360	107212	2520436	273828	4194300	4174092	4478	16883
2026-08-20T09:22:00Z	baseline	8	105	4005188	3034736	436252	107280	2520688	273828	4194300	4174092	4478	16883
2026-08-20T09:22:15Z	baseline	9	120	4005188	3020324	421688	107304	2520824	273828	4194300	4174092	4478	16883
2026-08-20T09:22:30Z	baseline	10	135	4005188	3021624	422880	107364	2520864	273828	4194300	4174092	4478	16883
2026-08-20T09:22:45Z	baseline	11	150	4005188	3025804	427056	107368	2520864	273828	4194300	4174092	4478	16883
2026-08-20T09:23:00Z	baseline	12	165	4005188	3023372	420316	107416	2525124	273828	4194300	4174092	4478	16883
2026-08-20T09:23:15Z	baseline	13	180	4005188	3028608	424956	107432	2525752	273828	4194300	4174092	4478	16883
2026-08-20T09:23:30Z	baseline	14	195	4005188	3017804	413504	107576	2526220	273828	4194300	4174092	4478	16883
2026-08-20T09:23:46Z	baseline	15	210	4005188	3005996	399792	108100	2527636	273860	4194300	4174092	4478	16883
2026-08-20T09:24:00Z	baseline	16	225	4005188	3005396	397500	108764	2528624	273860	4194300	4174092	4478	16883
2026-08-20T09:24:15Z	baseline	17	240	4005188	3014796	406632	108780	2528852	273860	4194300	4174092	4478	16883
2026-08-20T09:24:30Z	baseline	18	255	4005188	3035224	419708	110192	2534776	273876	4194300	4174092	4478	16883
2026-08-20T09:24:45Z	baseline	19	270	4005188	3030076	414504	110216	2534816	273876	4194300	4174092	4478	16883
2026-08-20T09:25:00Z	baseline	20	285	4005188	3046044	430084	110320	2535100	273876	4194300	4174092	4478	16883
2026-08-20T09:25:15Z	baseline	21	300	4005188	3047056	431028	110336	2535168	273860	4194300	4174092	4478	16883
2026-08-20T09:28:10Z	steady	1	0	4005188	2727376	130272	109744	2533576	274004	4194300	4173580	4478	16964
2026-08-20T09:28:25Z	steady	2	15	4005188	2714660	121728	109516	2529644	274000	4194300	4173580	4478	16969
2026-08-20T09:28:40Z	steady	3	30	4005188	2713060	144008	109392	2505936	273952	4194300	4173580	4478	16986
2026-08-20T09:28:55Z	steady	4	45	4005188	2697792	121772	109396	2512900	273952	4194300	4173580	4478	16986
2026-08-20T09:29:10Z	steady	5	60	4005188	2695636	119492	109448	2512972	273952	4194300	4173580	4478	16986
2026-08-20T09:29:25Z	steady	6	75	4005188	2689092	120644	109408	2505332	273936	4194300	4173580	4480	16986
2026-08-20T09:29:40Z	steady	7	90	4005188	2684212	115660	109488	2505388	273904	4194300	4173580	4480	16986
2026-08-20T09:29:55Z	steady	8	105	4005188	2707136	144348	109476	2499632	273904	4194300	4173580	4480	16987
2026-08-20T09:30:10Z	steady	9	120	4005188	2685048	122136	109540	2499692	273904	4194300	4173580	4480	16987
2026-08-20T09:30:25Z	steady	10	135	4005188	2685348	122340	109572	2499772	273904	4194300	4173580	4480	16987
2026-08-20T09:30:40Z	steady	11	150	4005188	2688712	125548	109664	2499828	273904	4194300	4173580	4480	16987
2026-08-20T09:30:55Z	steady	12	165	4005188	2684696	130552	109556	2490916	273900	4194300	4173324	4480	17003
2026-08-20T09:31:10Z	steady	13	180	4005188	2689476	132424	109640	2493756	273884	4194300	4173324	4480	17003
2026-08-20T09:31:25Z	steady	14	195	4005188	2697252	128672	109660	2505260	273884	4194300	4173324	4480	17003
2026-08-20T09:31:40Z	steady	15	210	4005188	2694636	123536	109788	2507652	273884	4194300	4173324	4480	17003
2026-08-20T09:31:55Z	steady	16	225	4005188	2692276	121128	109796	2507696	273884	4194300	4173324	4480	17003
2026-08-20T09:32:10Z	steady	17	240	4005188	2690876	119496	109868	2507852	273884	4194300	4173324	4480	17003
