timestamp	phase	sample	elapsed_seconds	MemTotal_kB	MemAvailable_kB	MemFree_kB	Buffers_kB	Cached_kB	SReclaimable_kB	SwapTotal_kB	SwapFree_kB	pswpin	pswpout
2026-08-20T07:24:21Z	baseline	1	0	4005188	3121196	491556	94792	2575664	262448	4194300	4172300	4091	15996
2026-08-20T07:24:38Z	baseline	2	16	4005188	3115316	484756	94916	2576468	262448	4194300	4172300	4092	15996
2026-08-20T07:24:56Z	baseline	3	34	4005188	3113308	482628	94972	2576532	262448	4194300	4172300	4092	15996
2026-08-20T07:25:14Z	baseline	4	52	4005188	3111008	480284	94988	2576552	262448	4194300	4172300	4092	15996
2026-08-20T07:25:32Z	baseline	5	70	4005188	3108660	477620	95068	2576788	262448	4194300	4172300	4097	15996
2026-08-20T07:25:50Z	baseline	6	88	4005188	3117176	486060	95072	2576860	262448	4194300	4172300	4097	15996
2026-08-20T07:26:08Z	baseline	7	106	4005188	3115524	484120	95128	2577092	262448	4194300	4172300	4097	15996
2026-08-20T07:26:25Z	baseline	8	124	4005188	3110928	479428	95168	2577148	262448	4194300	4172300	4097	15996
2026-08-20T07:26:43Z	baseline	9	141	4005188	3112904	481396	95176	2577152	262448	4194300	4172300	4097	15996
2026-08-20T07:27:01Z	baseline	10	159	4005188	3109876	478200	95228	2577268	262448	4194300	4172300	4097	15996
2026-08-20T07:27:19Z	baseline	11	177	4005188	3115424	483740	95232	2577268	262448	4194300	4172300	4097	15996
2026-08-20T07:27:36Z	baseline	12	194	4005188	3124952	493156	95296	2577316	262448	4194300	4172300	4097	15996
2026-08-20T07:27:53Z	baseline	13	211	4005188	3132064	500132	95368	2577392	262448	4194300	4172300	4097	15996
2026-08-20T07:28:11Z	baseline	14	229	4005188	3131484	499476	95376	2577448	262448	4194300	4172300	4097	15996
2026-08-20T07:28:29Z	baseline	15	247	4005188	3137024	504536	95444	2577860	262448	4194300	4172300	4097	15996
2026-08-20T07:28:47Z	baseline	16	265	4005188	3135420	502904	95476	2577856	262448	4194300	4172300	4097	15996
2026-08-20T07:29:05Z	baseline	17	283	4005188	3133924	501312	95520	2577908	262448	4194300	4172300	4097	15996
