timestamp	phase	sample	elapsed_seconds	some_avg10	some_avg60	some_avg300	some_total	full_avg10	full_avg60	full_avg300	full_total
2026-08-20T07:45:51Z	baseline	1	0	avg10=0.00	avg60=0.00	avg300=0.00	total=48269982	avg10=0.00	avg60=0.00	avg300=0.00	total=35270429
2026-08-20T07:46:10Z	baseline	2	18	avg10=0.00	avg60=0.00	avg300=0.00	total=48269982	avg10=0.00	avg60=0.00	avg300=0.00	total=35270429
2026-08-20T07:46:28Z	baseline	3	36	avg10=0.00	avg60=0.00	avg300=0.00	total=48269982	avg10=0.00	avg60=0.00	avg300=0.00	total=35270429
2026-08-20T07:46:46Z	baseline	4	54	avg10=0.00	avg60=0.00	avg300=0.00	total=48269982	avg10=0.00	avg60=0.00	avg300=0.00	total=35270429
2026-08-20T07:47:03Z	baseline	5	72	avg10=0.00	avg60=0.00	avg300=0.00	total=48269982	avg10=0.00	avg60=0.00	avg300=0.00	total=35270429
2026-08-20T07:47:21Z	baseline	6	90	avg10=0.00	avg60=0.00	avg300=0.00	total=48269982	avg10=0.00	avg60=0.00	avg300=0.00	total=35270429
2026-08-20T07:47:39Z	baseline	7	107	avg10=0.00	avg60=0.00	avg300=0.00	total=48269982	avg10=0.00	avg60=0.00	avg300=0.00	total=35270429
2026-08-20T07:47:57Z	baseline	8	125	avg10=0.00	avg60=0.00	avg300=0.00	total=48269982	avg10=0.00	avg60=0.00	avg300=0.00	total=35270429
2026-08-20T07:48:15Z	baseline	9	143	avg10=0.00	avg60=0.00	avg300=0.00	total=48269982	avg10=0.00	avg60=0.00	avg300=0.00	total=35270429
2026-08-20T07:48:33Z	baseline	10	161	avg10=0.21	avg60=0.08	avg300=0.01	total=48341105	avg10=0.14	avg60=0.05	avg300=0.01	total=35338534
2026-08-20T07:48:51Z	baseline	11	180	avg10=0.03	avg60=0.05	avg300=0.01	total=48342990	avg10=0.02	avg60=0.03	avg300=0.00	total=35340402
2026-08-20T07:49:09Z	baseline	12	198	avg10=0.00	avg60=0.04	avg300=0.00	total=48352860	avg10=0.00	avg60=0.02	avg300=0.00	total=35350223
2026-08-20T07:49:27Z	baseline	13	216	avg10=0.00	avg60=0.02	avg300=0.00	total=48400695	avg10=0.00	avg60=0.01	avg300=0.00	total=35397866
2026-08-20T07:49:45Z	baseline	14	234	avg10=0.03	avg60=0.04	avg300=0.00	total=48400695	avg10=0.03	avg60=0.03	avg300=0.00	total=35397866
2026-08-20T07:50:03Z	baseline	15	252	avg10=0.00	avg60=0.03	avg300=0.00	total=48400695	avg10=0.00	avg60=0.02	avg300=0.00	total=35397866
2026-08-20T07:50:21Z	baseline	16	270	avg10=0.00	avg60=0.02	avg300=0.00	total=48400695	avg10=0.00	avg60=0.01	avg300=0.00	total=35397866
2026-08-20T07:50:39Z	baseline	17	287	avg10=0.00	avg60=0.01	avg300=0.00	total=48408999	avg10=0.00	avg60=0.01	avg300=0.00	total=35405413
2026-08-20T07:50:57Z	baseline	18	305	avg10=0.00	avg60=0.00	avg300=0.00	total=48417390	avg10=0.00	avg60=0.00	avg300=0.00	total=35407210
2026-08-20T07:51:15Z	baseline	19	323	avg10=0.35	avg60=0.21	avg300=0.05	total=48595268	avg10=0.22	avg60=0.13	avg300=0.03	total=35525319
2026-08-20T07:51:33Z	baseline	20	341	avg10=0.07	avg60=0.16	avg300=0.04	total=48595278	avg10=0.04	avg60=0.10	avg300=0.02	total=35525329
2026-08-20T07:51:50Z	baseline	21	359	avg10=0.01	avg60=0.11	avg300=0.04	total=48595278	avg10=0.00	avg60=0.07	avg300=0.02	total=35525329
2026-08-20T07:54:46Z	steady	1	0	avg10=0.00	avg60=0.02	avg300=0.02	total=48764511	avg10=0.00	avg60=0.00	avg300=0.00	total=35664694
2026-08-20T07:55:07Z	steady	2	21	avg10=0.00	avg60=0.01	avg300=0.02	total=48772998	avg10=0.00	avg60=0.00	avg300=0.00	total=35673027
2026-08-20T07:55:27Z	steady	3	41	avg10=0.00	avg60=0.00	avg300=0.01	total=48780990	avg10=0.00	avg60=0.00	avg300=0.00	total=35680961
2026-08-20T07:55:47Z	steady	4	60	avg10=0.00	avg60=0.00	avg300=0.01	total=48780990	avg10=0.00	avg60=0.00	avg300=0.00	total=35680961
2026-08-20T07:56:07Z	steady	5	80	avg10=0.00	avg60=0.00	avg300=0.00	total=48784772	avg10=0.00	avg60=0.00	avg300=0.00	total=35684736
2026-08-20T07:56:26Z	steady	6	99	avg10=0.00	avg60=0.00	avg300=0.00	total=48786174	avg10=0.00	avg60=0.00	avg300=0.00	total=35685982
2026-08-20T07:56:46Z	steady	7	120	avg10=0.00	avg60=0.00	avg300=0.00	total=48801846	avg10=0.00	avg60=0.00	avg300=0.00	total=35699353
2026-08-20T07:57:06Z	steady	8	139	avg10=4.56	avg60=1.45	avg300=0.33	total=49835765	avg10=4.38	avg60=1.39	avg300=0.32	total=36676936
2026-08-20T07:57:27Z	steady	9	160	avg10=0.61	avg60=1.04	avg300=0.30	total=49846189	avg10=0.59	avg60=1.00	avg300=0.29	total=36687130
2026-08-20T07:57:47Z	steady	10	180	avg10=0.08	avg60=0.74	avg300=0.28	total=49846189	avg10=0.07	avg60=0.71	avg300=0.27	total=36687130
2026-08-20T07:58:07Z	steady	11	201	avg10=0.01	avg60=0.53	avg300=0.26	total=49847102	avg10=0.00	avg60=0.51	avg300=0.25	total=36688041
2026-08-20T07:58:27Z	steady	12	220	avg10=0.00	avg60=0.37	avg300=0.24	total=49851281	avg10=0.00	avg60=0.36	avg300=0.23	total=36692220
2026-08-20T07:58:47Z	steady	13	240	avg10=0.00	avg60=0.26	avg300=0.22	total=49860844	avg10=0.00	avg60=0.25	avg300=0.21	total=36701775
2026-08-20T07:59:06Z	steady	14	259	avg10=0.00	avg60=0.19	avg300=0.20	total=49862832	avg10=0.00	avg60=0.18	avg300=0.20	total=36702238
2026-08-20T07:59:26Z	steady	15	279	avg10=0.00	avg60=0.13	avg300=0.19	total=49862977	avg10=0.00	avg60=0.13	avg300=0.18	total=36702383
2026-08-20T07:59:45Z	steady	16	299	avg10=0.00	avg60=0.09	avg300=0.18	total=49862977	avg10=0.00	avg60=0.09	avg300=0.17	total=36702383
2026-08-20T08:00:05Z	steady	17	318	avg10=0.00	avg60=0.06	avg300=0.16	total=49866393	avg10=0.00	avg60=0.06	avg300=0.15	total=36705702
