timestamp	phase	sample	elapsed_seconds	MemTotal_kB	MemAvailable_kB	MemFree_kB	Buffers_kB	Cached_kB	SReclaimable_kB	SwapTotal_kB	SwapFree_kB	pswpin	pswpout
2026-08-20T07:45:51Z	baseline	1	0	4005188	3086104	500504	99664	2526600	262476	4194300	4172300	4101	16001
2026-08-20T07:46:10Z	baseline	2	18	4005188	3084636	498844	99756	2526824	262476	4194300	4172300	4101	16001
2026-08-20T07:46:28Z	baseline	3	36	4005188	3084168	498332	99792	2526832	262476	4194300	4172300	4101	16001
2026-08-20T07:46:46Z	baseline	4	54	4005188	3089408	503560	99804	2526832	262476	4194300	4172300	4101	16001
2026-08-20T07:47:03Z	baseline	5	72	4005188	3090304	504332	99904	2526856	262476	4194300	4172300	4101	16001
2026-08-20T07:47:21Z	baseline	6	90	4005188	3084220	498244	99916	2526856	262476	4194300	4172300	4101	16001
2026-08-20T07:47:39Z	baseline	7	107	4005188	3086440	500320	100008	2526908	262476	4194300	4172300	4101	16001
2026-08-20T07:47:57Z	baseline	8	125	4005188	3086832	500616	100092	2526912	262476	4194300	4172300	4101	16001
2026-08-20T07:48:15Z	baseline	9	143	4005188	3091724	505480	100112	2526920	262476	4194300	4172300	4101	16001
2026-08-20T07:48:33Z	baseline	10	161	4005188	3089428	495672	100184	2534360	262476	4194300	4172300	4101	16001
2026-08-20T07:48:51Z	baseline	11	180	4005188	3096876	503092	100188	2534384	262476	4194300	4172300	4101	16001
2026-08-20T07:49:09Z	baseline	12	198	4005188	3099452	505192	100304	2534748	262476	4194300	4172300	4101	16001
2026-08-20T07:49:27Z	baseline	13	216	4005188	3106892	502492	100384	2544976	262476	4194300	4172300	4101	16001
2026-08-20T07:49:45Z	baseline	14	234	4005188	3092740	487676	100444	2545408	262476	4194300	4172300	4101	16001
2026-08-20T07:50:03Z	baseline	15	252	4005188	3093948	488800	100528	2545408	262476	4194300	4172300	4101	16001
2026-08-20T07:50:21Z	baseline	16	270	4005188	3096232	491076	100544	2545412	262476	4194300	4172300	4101	16001
2026-08-20T07:50:39Z	baseline	17	287	4005188	3093396	484456	100628	2549100	262476	4194300	4172300	4101	16001
2026-08-20T07:50:57Z	baseline	18	305	4005188	3086260	476140	100720	2550184	262476	4194300	4172300	4101	16001
2026-08-20T07:51:15Z	baseline	19	323	4005188	3088940	464500	100792	2564452	262476	4194300	4172300	4101	16001
2026-08-20T07:51:33Z	baseline	20	341	4005188	3082204	457608	100876	2564508	262476	4194300	4172300	4101	16001
2026-08-20T07:51:50Z	baseline	21	359	4005188	3087132	462524	100888	2564508	262476	4194300	4172300	4101	16001
2026-08-20T07:54:46Z	steady	1	0	4005188	2737568	119356	101188	2573248	263928	4194300	4172300	4101	16011
2026-08-20T07:55:07Z	steady	2	21	4005188	2737456	120184	101264	2572228	263928	4194300	4172300	4101	16011
2026-08-20T07:55:27Z	steady	3	41	4005188	2739036	134976	101180	2559108	263920	4194300	4172300	4101	16011
2026-08-20T07:55:47Z	steady	4	60	4005188	2734148	129920	101224	2559232	263920	4194300	4172300	4101	16011
2026-08-20T07:56:07Z	steady	5	80	4005188	2725704	121572	101296	2559068	263920	4194300	4172300	4102	16011
2026-08-20T07:56:26Z	steady	6	99	4005188	2719276	115632	101324	2558548	263920	4194300	4172300	4102	16011
2026-08-20T07:56:46Z	steady	7	120	4005188	2735972	133792	101348	2557060	263920	4194300	4172300	4102	16011
2026-08-20T07:57:06Z	steady	8	139	4005188	2734680	133356	101072	2556504	263904	4194300	4172300	4103	16014
2026-08-20T07:57:27Z	steady	9	160	4005188	2718512	119660	101160	2553940	263904	4194300	4172300	4103	16014
2026-08-20T07:57:47Z	steady	10	180	4005188	2720400	121456	101180	2554012	263904	4194300	4172300	4103	16014
2026-08-20T07:58:07Z	steady	11	201	4005188	2722856	126692	101216	2551196	263904	4194300	4172300	4103	16014
2026-08-20T07:58:27Z	steady	12	220	4005188	2710376	115580	101256	2549788	263904	4194300	4172300	4103	16014
2026-08-20T07:58:47Z	steady	13	240	4005188	2707332	132924	100968	2529688	263904	4194300	4172300	4103	16022
2026-08-20T07:59:06Z	steady	14	259	4005188	2720088	145532	101028	2529780	263904	4194300	4172300	4103	16022
2026-08-20T07:59:26Z	steady	15	279	4005188	2718560	143576	101084	2530148	263904	4194300	4172300	4103	16022
2026-08-20T07:59:45Z	steady	16	299	4005188	2731716	156656	101104	2530204	263904	4194300	4172300	4103	16022
2026-08-20T08:00:05Z	steady	17	318	4005188	2725372	149628	101132	2530864	263904	4194300	4172300	4103	16022
