timestamp	phase	sample	elapsed_seconds	some_avg10	some_avg60	some_avg300	some_total	full_avg10	full_avg60	full_avg300	full_total
2026-08-21T03:07:17Z	baseline	1	0	avg10=0.18	avg60=0.04	avg300=0.00	total=61579634	avg10=0.18	avg60=0.03	avg300=0.00	total=47029538
2026-08-21T03:07:32Z	baseline	2	15	avg10=0.04	avg60=0.03	avg300=0.00	total=61579933	avg10=0.04	avg60=0.02	avg300=0.00	total=47029647
2026-08-21T03:07:47Z	baseline	3	30	avg10=0.00	avg60=0.02	avg300=0.00	total=61579933	avg10=0.00	avg60=0.01	avg300=0.00	total=47029647
2026-08-21T03:08:02Z	baseline	4	45	avg10=0.00	avg60=0.02	avg300=0.00	total=61580183	avg10=0.00	avg60=0.01	avg300=0.00	total=47029894
2026-08-21T03:08:17Z	baseline	5	60	avg10=0.00	avg60=0.01	avg300=0.00	total=61580183	avg10=0.00	avg60=0.00	avg300=0.00	total=47029894
2026-08-21T03:08:32Z	baseline	6	75	avg10=0.00	avg60=0.00	avg300=0.00	total=61580183	avg10=0.00	avg60=0.00	avg300=0.00	total=47029894
2026-08-21T03:08:47Z	baseline	7	90	avg10=0.00	avg60=0.00	avg300=0.00	total=61580183	avg10=0.00	avg60=0.00	avg300=0.00	total=47029894
2026-08-21T03:09:02Z	baseline	8	105	avg10=0.00	avg60=0.00	avg300=0.00	total=61580183	avg10=0.00	avg60=0.00	avg300=0.00	total=47029894
2026-08-21T03:09:17Z	baseline	9	120	avg10=0.00	avg60=0.00	avg300=0.00	total=61580183	avg10=0.00	avg60=0.00	avg300=0.00	total=47029894
2026-08-21T03:09:32Z	baseline	10	135	avg10=0.00	avg60=0.00	avg300=0.00	total=61580183	avg10=0.00	avg60=0.00	avg300=0.00	total=47029894
2026-08-21T03:09:47Z	baseline	11	150	avg10=0.00	avg60=0.00	avg300=0.00	total=61580183	avg10=0.00	avg60=0.00	avg300=0.00	total=47029894
2026-08-21T03:10:02Z	baseline	12	165	avg10=0.00	avg60=0.00	avg300=0.00	total=61580183	avg10=0.00	avg60=0.00	avg300=0.00	total=47029894
2026-08-21T03:10:17Z	baseline	13	180	avg10=0.00	avg60=0.00	avg300=0.00	total=61580183	avg10=0.00	avg60=0.00	avg300=0.00	total=47029894
2026-08-21T03:10:32Z	baseline	14	195	avg10=0.00	avg60=0.00	avg300=0.00	total=61580183	avg10=0.00	avg60=0.00	avg300=0.00	total=47029894
2026-08-21T03:10:47Z	baseline	15	210	avg10=0.00	avg60=0.00	avg300=0.00	total=61580183	avg10=0.00	avg60=0.00	avg300=0.00	total=47029894
2026-08-21T03:11:02Z	baseline	16	225	avg10=0.00	avg60=0.00	avg300=0.00	total=61580183	avg10=0.00	avg60=0.00	avg300=0.00	total=47029894
2026-08-21T03:11:17Z	baseline	17	240	avg10=0.00	avg60=0.00	avg300=0.00	total=61580183	avg10=0.00	avg60=0.00	avg300=0.00	total=47029894
2026-08-21T03:11:32Z	baseline	18	255	avg10=0.00	avg60=0.00	avg300=0.00	total=61580610	avg10=0.00	avg60=0.00	avg300=0.00	total=47030322
2026-08-21T03:11:47Z	baseline	19	270	avg10=0.00	avg60=0.00	avg300=0.00	total=61580610	avg10=0.00	avg60=0.00	avg300=0.00	total=47030322
2026-08-21T03:12:02Z	baseline	20	285	avg10=0.00	avg60=0.00	avg300=0.00	total=61580610	avg10=0.00	avg60=0.00	avg300=0.00	total=47030322
2026-08-21T03:12:17Z	baseline	21	300	avg10=0.00	avg60=0.00	avg300=0.00	total=61580610	avg10=0.00	avg60=0.00	avg300=0.00	total=47030322
2026-08-21T03:14:55Z	steady	1	0	avg10=0.00	avg60=0.00	avg300=0.00	total=61663528	avg10=0.00	avg60=0.00	avg300=0.00	total=47104637
2026-08-21T03:15:10Z	steady	2	15	avg10=0.00	avg60=0.00	avg300=0.00	total=61667648	avg10=0.00	avg60=0.00	avg300=0.00	total=47108755
2026-08-21T03:15:25Z	steady	3	30	avg10=0.00	avg60=0.00	avg300=0.00	total=61683917	avg10=0.00	avg60=0.00	avg300=0.00	total=47124893
2026-08-21T03:15:40Z	steady	4	45	avg10=0.00	avg60=0.00	avg300=0.00	total=61684968	avg10=0.00	avg60=0.00	avg300=0.00	total=47125935
2026-08-21T03:15:55Z	steady	5	60	avg10=0.00	avg60=0.00	avg300=0.00	total=61685032	avg10=0.00	avg60=0.00	avg300=0.00	total=47125999
2026-08-21T03:16:10Z	steady	6	75	avg10=0.00	avg60=0.00	avg300=0.00	total=61685032	avg10=0.00	avg60=0.00	avg300=0.00	total=47125999
2026-08-21T03:16:25Z	steady	7	90	avg10=0.00	avg60=0.00	avg300=0.00	total=61685032	avg10=0.00	avg60=0.00	avg300=0.00	total=47125999
2026-08-21T03:16:40Z	steady	8	105	avg10=0.00	avg60=0.00	avg300=0.00	total=61685032	avg10=0.00	avg60=0.00	avg300=0.00	total=47125999
2026-08-21T03:16:55Z	steady	9	120	avg10=0.00	avg60=0.00	avg300=0.00	total=61685332	avg10=0.00	avg60=0.00	avg300=0.00	total=47126041
2026-08-21T03:17:10Z	steady	10	135	avg10=0.00	avg60=0.00	avg300=0.00	total=61685332	avg10=0.00	avg60=0.00	avg300=0.00	total=47126041
2026-08-21T03:17:25Z	steady	11	150	avg10=0.00	avg60=0.00	avg300=0.00	total=61690259	avg10=0.00	avg60=0.00	avg300=0.00	total=47130956
2026-08-21T03:17:40Z	steady	12	165	avg10=0.00	avg60=0.00	avg300=0.00	total=61691020	avg10=0.00	avg60=0.00	avg300=0.00	total=47131718
2026-08-21T03:17:55Z	steady	13	180	avg10=0.00	avg60=0.00	avg300=0.00	total=61691032	avg10=0.00	avg60=0.00	avg300=0.00	total=47131729
2026-08-21T03:18:10Z	steady	14	195	avg10=0.00	avg60=0.00	avg300=0.00	total=61691357	avg10=0.00	avg60=0.00	avg300=0.00	total=47132034
2026-08-21T03:18:25Z	steady	15	210	avg10=0.00	avg60=0.00	avg300=0.00	total=61691357	avg10=0.00	avg60=0.00	avg300=0.00	total=47132034
2026-08-21T03:18:40Z	steady	16	225	avg10=0.00	avg60=0.00	avg300=0.00	total=61691357	avg10=0.00	avg60=0.00	avg300=0.00	total=47132034
2026-08-21T03:18:55Z	steady	17	240	avg10=0.00	avg60=0.00	avg300=0.00	total=61691357	avg10=0.00	avg60=0.00	avg300=0.00	total=47132034
